sample,lati,longi,elevation,age,error,sys,ref,,,elevation,age,error,
,49.83,12.12,-5369,,2,Har,warnock_zeitler_1998,,,-5369,387.817,2,
,49.83,12.12,-5079,,2,Har,warnock_zeitler_1998,,,-5079,385.378,2,
,49.83,12.12,-5014,,2,Har,warnock_zeitler_1998,,,-5014,367.766,2,
,49.83,12.12,-4461,,2,Har,warnock_zeitler_1998,,,-4461,384.296,2,
,49.83,12.12,-4316,,2,Har,warnock_zeitler_1998,,,-4316,385.217,2,
,49.83,12.12,-3606,,2,Har,warnock_zeitler_1998,,,-3606,379.359,2,
,49.83,12.12,-1554,,1,Har,warnock_zeitler_1998,,,-1554,363.23,1,
,49.83,12.12,-1448,,1,Har,warnock_zeitler_1998,,,-1448,379.379,1,
,49.83,12.12,-1369,,1,Har,warnock_zeitler_1998,,,-1369,376.033,1,
,49.83,12.12,-1290,,2,Har,warnock_zeitler_1998,,,-1290,372.211,2,
,49.83,12.12,-8728,,1,Bar,warnock_zeitler_1998,,,-8728,282.463,1,
,49.83,12.12,-8688,,1,Bar,warnock_zeitler_1998,,,-8688,289.114,1,
,49.83,12.12,-8477,,1,Bar,warnock_zeitler_1998,,,-8477,289.545,1,
,49.83,12.12,-8503,,1,Bar,warnock_zeitler_1998,,,-8503,296.209,1,
,49.83,12.12,-8319,,1,Bar,warnock_zeitler_1998,,,-8319,296.646,1,
,49.83,12.12,-8319,,1,Bar,warnock_zeitler_1998,,,-8319,304.731,1,
,49.83,12.12,-8305,,2,Bar,warnock_zeitler_1998,,,-8305,322.326,2,
,49.83,12.12,-8304,,4,Bar,warnock_zeitler_1998,,,-8304,351.815,4,
,49.83,12.12,-8121,,1,Bar,warnock_zeitler_1998,,,-8121,314.202,1,
,49.83,12.12,-8121,,1,Bar,warnock_zeitler_1998,,,-8121,322.287,1,
,49.83,12.12,-8121,,1,Bar,warnock_zeitler_1998,,,-8121,326.092,1,
,49.83,12.12,-8134,,2.5,Bar,warnock_zeitler_1998,,,-8134,331.327,2.5,
,49.83,12.12,-6029,,1,Bar,warnock_zeitler_1998,,,-6029,304.723,1,
,49.83,12.12,-5609,,4,Bar,warnock_zeitler_1998,,,-5609,296.073,4,
,49.83,12.12,-4437,,2,Bar,warnock_zeitler_1998,,,-4437,313.423,2,
,49.83,12.12,-4293,,1,Bar,warnock_zeitler_1998,,,-4293,296.746,1,
,49.83,12.12,-3621,,1,Bar,warnock_zeitler_1998,,,-3621,311.348,1,
,49.83,12.12,-3476,,1,Bar,warnock_zeitler_1998,,,-3476,314.647,1,
,49.83,12.12,-3476,,4,Bar,warnock_zeitler_1998,,,-3476,319.879,4,
,49.83,12.12,-3279,,1,Bar,warnock_zeitler_1998,,,-3279,305.568,1,
,49.83,12.12,-2845,,1,Bar,warnock_zeitler_1998,,,-2845,322.599,1,
,49.83,12.12,-2489,,1,Bar,warnock_zeitler_1998,,,-2489,326.804,1,
,49.83,12.12,-2267,,1,Bar,warnock_zeitler_1998,,,-2267,297.744,1,
,49.83,12.12,-2306,,1,Bar,warnock_zeitler_1998,,,-2306,310.119,1,
,49.83,12.12,-2279,,1,Bar,warnock_zeitler_1998,,,-2279,317.723,1,
,49.83,12.12,-2253,,1,Bar,warnock_zeitler_1998,,,-2253,321.523,1,
,49.83,12.12,-1950,,1,Bar,warnock_zeitler_1998,,,-1950,322.41,1,
,49.83,12.12,-1699,,1,Bar,warnock_zeitler_1998,,,-1699,347.565,1,
,49.83,12.12,-911,,8,Bar,warnock_zeitler_1998,,,-911,310.775,8,
,49.83,12.12,-949,,1,Bar,warnock_zeitler_1998,,,-949,335.991,1,
,49.83,12.12,-660,,1,Bar,warnock_zeitler_1998,,,-660,338.784,1,
,49.83,12.12,-633,,1,Bar,warnock_zeitler_1998,,,-633,352.096,1,
,49.83,12.12,-501,,5,Bar,warnock_zeitler_1998,,,-501,359.678,5,
,49.83,12.12,-488,,1,Bar,warnock_zeitler_1998,,,-488,378.224,1,
