sample,lati,longi,elevation,age,error,sys,ref
KTB-3887m,49.83,12.12,-3887,3.2,0.2,AHe,"Warnock_zeitler_1997, Geochimica et Cosmochimica Acta"
ZKTBQ,49.83,12.12,0,92.3,7.4,ZHe,"WolfeStockli2010, EPSL"
ZKTB 52,49.83,12.12,-52,95.7,7.7,ZHe,"WolfeStockli2010, EPSL"
ZKTB 125,49.83,12.12,-125,93.2,7.5,ZHe,"WolfeStockli2010, EPSL"
ZKTB 525,49.83,12.12,-525,77.7,6.2,ZHe,"WolfeStockli2010, EPSL"
ZKTB 1230,49.83,12.12,-1230,111.7,8.9,ZHe,"WolfeStockli2010, EPSL"
ZKTB 1358,49.83,12.12,-1358,92.6,7.4,ZHe,"WolfeStockli2010, EPSL"
ZKTB 1516,49.83,12.12,-1516,94.9,7.6,ZHe,"WolfeStockli2010, EPSL"
ZKTB 1575,49.83,12.12,-1575,71.2,5.7,ZHe,"WolfeStockli2010, EPSL"
ZKTB 1740,49.83,12.12,-1740,83.5,6.7,ZHe,"WolfeStockli2010, EPSL"
ZKTB 2020,49.83,12.12,-2020,82.6,6.6,ZHe,"WolfeStockli2010, EPSL"
ZKTB 2507,49.83,12.12,-2507,87.3,7,ZHe,"WolfeStockli2010, EPSL"
Z747 A1,49.83,12.12,-3059,71.7,5.7,ZHe,"WolfeStockli2010, EPSL"
Z798A1g2,49.83,12.12,-3269,72,5.8,ZHe,"WolfeStockli2010, EPSL"
ZKTB 3575,49.83,12.12,-3575,76.1,6.1,ZHe,"WolfeStockli2010, EPSL"
ZKTB 4050,49.83,12.12,-4050,81.4,1.4,ZHe,"WolfeStockli2010, EPSL"
ZKTB 4088,49.83,12.12,-4088,81.7,6.5,ZHe,"WolfeStockli2010, EPSL"
ZKTB 4124,49.83,12.12,-4124,76.7,6.1,ZHe,"WolfeStockli2010, EPSL"
ZKTB 4620,49.83,12.12,-4620,82.2,6.6,ZHe,"WolfeStockli2010, EPSL"
ZKTB 4668,49.83,12.12,-4668,80.5,6.4,ZHe,"WolfeStockli2010, EPSL"
ZKTB 5008,49.83,12.12,-5008,57.5,4.6,ZHe,"WolfeStockli2010, EPSL"
ZKTB 5608,49.83,12.12,-5608,40.7,3.3,ZHe,"WolfeStockli2010, EPSL"
ZKTB 5450,49.83,12.12,-5450,61.2,4.9,ZHe,"WolfeStockli2010, EPSL"
ZKTB 5720,49.83,12.12,-5720,29.3,2.3,ZHe,"WolfeStockli2010, EPSL"
ZKTB 5975,49.83,12.12,-5975,29.6,0.1,ZHe,"WolfeStockli2010, EPSL"
ZKTB 6255,49.83,12.12,-6255,13.3,1.1,ZHe,"WolfeStockli2010, EPSL"
ZKTB 6500,49.83,12.12,-6500,4.8,0.4,ZHe,"WolfeStockli2010, EPSL"
ZKTB 6562,49.83,12.12,-6562,22.8,1.4,ZHe,"WolfeStockli2010, EPSL"
ZKTB 6750,49.83,12.12,-6750,15.3,1.2,ZHe,"WolfeStockli2010, EPSL"
ZKTB 7152,49.83,12.12,-7152,10.2,0.8,ZHe,"WolfeStockli2010, EPSL"
ZKTB 7154,49.83,12.12,-7154,8.4,0.7,ZHe,"WolfeStockli2010, EPSL"
ZKTB  7244,49.83,12.12,-7244,0.9,0.1,ZHe,"WolfeStockli2010, EPSL"
ZKTB 7553,49.83,12.12,-7553,17.7,1.4,ZHe,"WolfeStockli2010, EPSL"
ZKTB 7790,49.83,12.12,-7790,1.4,0.1,ZHe,"WolfeStockli2010, EPSL"
ZH034,49.83,12.12,-8080,1,0.1,ZHe,"WolfeStockli2010, EPSL"
ZKTB 8257,49.83,12.12,-8257,0.8,0.1,ZHe,"WolfeStockli2010, EPSL"
ZKTB 8380,49.83,12.12,-8380,4.2,0.3,ZHe,"WolfeStockli2010, EPSL"
ZKTB 9000,49.83,12.12,-9000,1.2,0.1,ZHe,"WolfeStockli2010, EPSL"
ZKTB1516-DE,49.83,12.12,-1516,94.9,18,ZHe,"WolfeStockli2010, EPSL"
ZKTB4050-DE,49.83,12.12,-4050,81.4,2.2,ZHe,"WolfeStockli2010, EPSL"
HC510b,49.83,12.12,-510,243,16,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HDSP234,49.83,12.12,-1391,242,19,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HDSP237,49.83,12.12,-2470,211,12,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HC2650,49.83,12.12,-2650,243,12,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HDSP238,49.83,12.12,-2700,230,13,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HDSP241,49.83,12.12,-3900,231,19,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HF4350,49.83,12.12,-4350,177,11,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HF4500,49.83,12.12,-4500,213,15,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
H010-B9,49.83,12.12,-4820,129,15,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HC5573,49.83,12.12,-5573,108,8.4,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
H027-D2,49.83,12.12,-6357,97.5,6.9,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
H029,49.83,12.12,-6540,112,16,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HC7368,49.83,12.12,-7368,212,20,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HC7454,49.83,12.12,-7454,162,11,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HC7688b,49.83,12.12,-7688,154,9.1,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HC8250,49.83,12.12,-8250,166,8.4,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
HC8700,49.83,12.12,-8700,111,16,SpheneFT,"Wemmer, KTB Report94-2,  1994,  pp. 63Ð70"
